,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_location_rating,hotel_nearby_place_distance,hotel_popular_place_distance,district
1540,1000006328,Chic Color Suite,"15 Soi.Ornuch 10, Sukhumvit 77, Suanluang,, Sukhumvit, Bangkok, Thailand, 10250",1.5,6.5,Wat Mahabut && 760 m ; Century The Movie Plaza Sukhumvit && 1.08 km ; On Nut BTS Station && 1.09 km ; Tesco Lotus Sukhumvit && 1.18 km ; Tokai Surgery Clinic && 1.29 km ; Asia Herb Association - Phrom Phong Shop && 1.38 km ; HOF Art Space at W District && 1.5 km ; Bangchak BTS Station && 1.68 km ; W Market && 1.79 km ; Embassy of Nepal && 1.83 km,Terminal 21 Shopping Mall && 6.12 km ; Central World && 8.58 km ; Jim Thompson && 9.8 km ; Yaowarat Road && 11.33 km ; Asiatique - The Riverfront && 11.52 km ; Wat Saket && 12.15 km ; Khao San Road && 13.23 km ; Wat Pho Temple && 13.27 km ; Wat Phra Kaew && 13.47 km ; Grand Palace && 13.53 km,Sukhumvit
1541,1000006329,Amarin Inn,"96 Trok Surau Chakrapong,
Prasumen Road, 
Banglumpoo, Khaosan, Bangkok, Thailand, 10200",1.5,7.7,Aman's Fashion Tailor && 140 m ; Phra Sumen Fort && 150 m ; Banglamphu && 160 m ; Ad Here the 13th && 170 m ; Jack Armani Suit && 190 m ; Nittaya Curry Shop && 200 m ; Taekee Taekon && 200 m ; Velothailand && 200 m ; Wat Chana Songkhram && 220 m ; Santi Chai Prakan Park && 230 m,Khao San Road && 480 m ; Wat Saket && 1.43 km ; Grand Palace && 1.5 km ; Wat Phra Kaew && 1.54 km ; Wat Pho Temple && 1.88 km ; Yaowarat Road && 2.83 km ; Jim Thompson && 3.7 km ; Central World && 4.93 km ; Asiatique - The Riverfront && 6.59 km ; Terminal 21 Shopping Mall && 7.39 km,Khaosan
1542,1000006330,The Nine House,"38 Saranakom soi 20 (Mooban Pincharoen 1) Between Songprapa Soi 2 and Soi 4) Sikun Donmuang, Don Mueang International Airport, Bangkok, Thailand, 10210",1.0,6.8,Wat Don Mueang- Phra Arramluang && 660 m ; Don Mueang International Airport && 1.14 km ; Harrow International School && 3.27 km ; Thupatemi Royal Thai Air Force Sports Stadium && 3.35 km ; Wat Prayunthammaram && 3.77 km ; Macro Rangsit && 3.77 km ; Mother of God Catholic Church && 3.77 km ; Merry King Department Store && 3.77 km ; Wat Klong Nueng && 3.77 km ; Thupatemee Stadium -- Royal Airforce Stadium && 3.77 km,Central World && 21.65 km ; Jim Thompson && 21.71 km ; Terminal 21 Shopping Mall && 21.95 km ; Wat Saket && 22.21 km ; Khao San Road && 22.22 km ; Grand Palace && 23.34 km ; Wat Phra Kaew && 23.37 km ; Yaowarat Road && 23.4 km ; Wat Pho Temple && 23.67 km ; Asiatique - The Riverfront && 27.39 km,Don Mueang International Airport
1543,1000006331,Manii hostel Asoke,"16/6 Soi Sukhumvit 19, wattana, Sukhumvit, Bangkok, Thailand, 10110",1.5,8.8,Ravi Sehgal Bespoke && 40 m ; Jesse and Son Custom Tailors && 50 m ; Ambassador & Smart Fashion && 60 m ; Robinson Sukhumvit && 100 m ; Ban Kamthieng && 120 m ; British Custom Tailors && 130 m ; Terminal 21 Shopping Mall && 140 m ; Sukhumvit MRT Station && 150 m ; Bangkok Bazaar && 180 m ; Inter Milan Tailor & Boutique && 180 m,Terminal 21 Shopping Mall && 140 m ; Central World && 2.41 km ; Jim Thompson && 3.65 km ; Yaowarat Road && 5.48 km ; Wat Saket && 6.04 km ; Khao San Road && 7.1 km ; Asiatique - The Riverfront && 7.27 km ; Wat Pho Temple && 7.35 km ; Wat Phra Kaew && 7.49 km ; Grand Palace && 7.55 km,Sukhumvit
1544,1000006332,YHA Bangkok Downtown,"Next to Skytrain station Chong Nonsi : Exit 4 and keep walking , we just 2 block from Rolex showroom, Silom, Bangkok, Thailand, 10500",1.0,8.2,Soi Lalai Sap Market && 120 m ; Sunny Camera && 130 m ; TMB Bank && 190 m ; Sathorn Thani Building && 200 m ; BNH Hospital && 220 m ; Chong Nonsi BTS Station && 230 m ; Silom Night Market && 230 m ; Consulate of Madagascar && 250 m ; Niks/Nava Import Export && 250 m ; Baan Silom Arcade && 300 m,Central World && 2.52 km ; Jim Thompson && 2.62 km ; Yaowarat Road && 2.64 km ; Asiatique - The Riverfront && 3.65 km ; Terminal 21 Shopping Mall && 3.67 km ; Wat Saket && 3.94 km ; Wat Pho Temple && 4.52 km ; Wat Phra Kaew && 4.8 km ; Grand Palace && 4.87 km ; Khao San Road && 4.95 km,Silom
1545,1000006333,At Ease Residence Suvarnabhumi ,"199/57 moo 11 Theparak RD. Bangphliyai Bangphli Samutparkran, Suvarnabhumi Airport, Bangkok, Thailand, 10540",1.5,6.2,"Wat Bang Pli Yai Nai && 1.05 km ; Big C Bang Pli && 1.35 km ; The American School of Bangkok Bangna Campus && 1.78 km ; Green Valley Country Club && 1.99 km ; Bang-cha-Loang-Nai Temple && 2.81 km ; Tesco Lotus Bangplee && 3.8 km ; Home Pro Suvarnabhumi && 3.82 km ; Hua Cheaw University && 4.59 km ; Thana City Golf and Country Club && 6.29 km ; Hi-Q Food Co., Ltd. && 6.5 km",Terminal 21 Shopping Mall && 23.1 km ; Central World && 25.43 km ; Asiatique - The Riverfront && 26.1 km ; Jim Thompson && 26.58 km ; Yaowarat Road && 27.61 km ; Wat Saket && 28.74 km ; Wat Pho Temple && 29.49 km ; Wat Phra Kaew && 29.78 km ; Khao San Road && 29.82 km ; Grand Palace && 29.85 km,Suvarnabhumi Airport
1546,1000006334,Sena Place,"17,  Phaholyothin Road , Soi 11, Phayathai,, Chatuchak, Bangkok, Thailand",3.5,7.0,Elephant Tower && 650 m ; Soi Ari && 730 m ; Saphan Khwai BTS Station && 880 m ; Ari BTS Station && 940 m ; La Villa Ari && 950 m ; Xavier Hall && 1.07 km ; Or Tor Kor (OTK) Market && 1.08 km ; Or Tor Kor Market && 1.09 km ; ICQ && 1.12 km ; Sobazaar && 1.2 km,Jim Thompson && 4.65 km ; Central World && 4.74 km ; Wat Saket && 5.54 km ; Terminal 21 Shopping Mall && 5.92 km ; Khao San Road && 5.96 km ; Yaowarat Road && 6.47 km ; Grand Palace && 7.04 km ; Wat Phra Kaew && 7.04 km ; Wat Pho Temple && 7.22 km ; Asiatique - The Riverfront && 10.34 km,Chatuchak
1547,1000006335,Thana Place Charunsanithwong 34,"48 Soi Charunsanitwong34 Arunamarin Bangkoknoi, Thonburi, Bangkok, Thailand, 10700",2.0,6.0,Wat Chao Am Temple && 780 m ; Royal Barges National Museum && 1 km ; Central Pinklao Shopping Complex && 1.09 km ; Central Plaza Pinklao && 1.1 km ; Bangkok Noi Canal && 1.14 km ; Thonburi Railway Pier && 1.43 km ; Pin Klao Bridge && 1.45 km ; Siriraj Hospital && 1.47 km ; Phra Pin Klao Pier && 1.5 km ; Public Health Center Wat Chao Arm && 1.52 km,Khao San Road && 2.43 km ; Grand Palace && 2.47 km ; Wat Phra Kaew && 2.55 km ; Wat Pho Temple && 2.91 km ; Wat Saket && 3.52 km ; Yaowarat Road && 4.63 km ; Jim Thompson && 5.88 km ; Central World && 7.11 km ; Asiatique - The Riverfront && 7.66 km ; Terminal 21 Shopping Mall && 9.58 km,Thonburi
